Property Name,Type,Price,Listing Type,Status,Agent
Green Villa,Villa,8500000,Sale,Available,Amit Sharma
Sunshine Apartment,Flat,4500000,Sale,Sold,Neha Verma
Lake View House,House,12000000,Sale,Available,Raj Malhotra
City Center Flat,Flat,30000,Rent,Available,Priya Singh
Palm Residency,Apartment,25000,Rent,Rented,Karan Mehta
Royal Bungalow,Bungalow,20000000,Sale,Available,Vikas Gupta
Urban Studio,Studio,18000,Rent,Available,Anjali Kapoor
Elite Heights,Apartment,6000000,Sale,Sold,Rohit Yadav
Dream Homes,Villa,9500000,Sale,Available,Sanya Arora
Budget Flat,Flat,15000,Rent,Available,Deepak Kumar
